Messages;Total Time;First Message;Average per Round;Key Generation;Commitments on Key;PoK Generation on Keys;Sending Comm&PoK on Keys;Receive Comm&PoK on Keys;Setting Round Messages;Calculate PoK on Message Format;Send Format Proof;Receive Comm&PoK on Format;Calculate PoK on Message;Send PoK on Message;Receive PoK on Message;Calculate PoK on Output;Send PoK on Output;Receive PoK on Output;Virtual Round;Round Resolution
19;244.87642105263154;106.95557894736842;12.888210526315788;10.966;8.482789473684209;0.24268421052631584;0.3161052631578947;19.465578947368414;0.38373684210526315;0.5325263157894737;0.0;27.25647368421053;0.2888947368421052;0.12136842105263158;12.309526315789473;0.5374210526315788;0.12247368421052636;18.96236842105263;0.0006315789473684211;0.0031052631578947372
20;289.20775;132.81130000000002;14.4605;11.085;8.513549999999999;0.23520000000000002;0.3213500000000001;18.387050000000002;0.37649999999999995;0.52265;0.0;27.364750000000004;0.28985;0.12405000000000004;12.356349999999999;0.5593000000000001;0.12050000000000001;19.72105;0.0;0.0016500000000000004
21;327.538;85.8164761904762;15.59704761904762;11.437952380952382;8.878428571428572;0.2184761904761905;0.32123809523809527;18.665476190476188;0.3553333333333332;0.48866666666666686;0.0;27.759095238095238;0.27690476190476193;0.12028571428571434;12.11647619047619;0.48128571428571426;0.10757142857142857;18.754142857142853;0.00014285714285714287;0.0024285714285714292
22;381.198;162.12168181818186;17.327272727272728;10.26827272727273;8.656954545454546;0.217;0.2867272727272727;18.67522727272728;0.3415454545454545;0.47490909090909095;0.0;27.28922727272727;0.2645;0.11613636363636369;12.525909090909094;0.5275454545454547;0.09122727272727273;20.2485;0.0;0.005136363636363637
23;423.77630434782606;171.55552173913046;18.424956521739137;10.428217391304349;8.852130434782609;0.21321739130434778;0.2865652173913043;18.88413043478261;0.3211304347826087;0.43382608695652175;0.0;27.439173913043472;0.24434782608695657;0.11565217391304349;12.465434782608694;0.4786086956521739;0.10743478260869566;19.718217391304346;0.0;0.0019565217391304354
24;491.16945833333335;151.019375;20.46533333333333;10.975208333333335;8.797416666666667;0.20166666666666674;0.321375;18.621125000000003;0.30525;0.43504166666666677;0.0;27.44683333333333;0.255375;0.14983333333333335;12.453999999999999;0.44554166666666667;0.13341666666666666;19.440916666666666;0.0;0.0012916666666666667
25;552.88168;142.58528;22.11532;10.12444;8.688920000000001;0.19188;0.32844;18.8072;0.29252000000000006;0.41035999999999995;0.0;28.435719999999996;0.23088;0.1276;12.00236;0.4421599999999999;0.11668;19.7888;0.0;0.0022
26;615.0286153846154;245.64334615384615;23.654923076923076;10.396538461538462;8.853346153846154;0.18546153846153846;0.29546153846153844;19.03646153846154;0.27549999999999997;0.3839230769230769;0.0;28.392961538461538;0.23038461538461544;0.11365384615384617;12.197807692307693;0.40284615384615385;0.11665384615384615;19.10784615384615;0.0;0.0015384615384615387
27;700.334;242.46648148148145;25.938222222222223;9.876814814814818;8.693851851851852;0.19125925925925932;0.25599999999999995;18.297259259259263;0.28103703703703703;0.39225925925925925;0.0;28.97137037037037;0.22907407407407412;0.10088888888888888;12.04614814814815;0.44040740740740747;0.11262962962962966;20.098888888888887;0.0;0.0021851851851851854
28;766.3163571428571;283.5352142857143;27.368535714285716;9.9035;8.863249999999999;0.17232142857142854;0.2745714285714286;18.85367857142857;0.2610357142857143;0.37192857142857144;0.0;28.878928571428577;0.21796428571428567;0.09517857142857143;12.143249999999998;0.3822142857142857;0.10946428571428575;19.460071428571432;7.142857142857143e-05;0.0019285714285714284
